"Home Player","Away Player","Week","Division","Status","Match Time","Unix Time","Match Format","Restream Channel","Winner","Home Score","Away Score","Vod","Commentators"
"Jer","Dex","10","3a","Played","2/7 19:00","1612742400","Connect 5","Offline","Dex","4","6","","Offline"
"Lego","MoJungo","4","3b","Played","2/7 20:00","1612746000","Row Control","Bingothon","Lego","3","1","","JBuzzyBee, Sega"
"Pinkish","Kao","4","3b","Played","2/7 21:30","1612751400","Invasion","Bingothon","Pinkish","13","9","","JJ, Plankton"
"Segastar","JBuzzyBee","10","3b","Played","2/8 19:00","1612828800","Connect 5","Offline","JBuzzyBee","3","6","","Offline"
"TheAzack9","Kao","9","3b","Played","2/9 14:00","1612897200","Lockout","Offline","Kao","8","13","","Offline"
"Juan","TheAzack9","3","3b","Played","2/10 14:00","1612983600","Row Control","Offline","Juan","3","0","","Offline"
"Dex","WildGeffe64","5","3a","Played","2/10 14:00","1612983600","Row Control","Bingothon","Dex","3","1","","MoJungo, deathline"
"Samura1man","Briguy","10","1","Played","2/10 15:30","1612989000","Invasion","Bingothon","Samura1man","13","8","","Alaeus, Larvitar"
"Rimato","UrinalMike","5","1","Played","2/10 17:00","1612994400","Lockout","Bingothon","Rimato","13","10","","PK, Larvitar"
"Pogonateur","Samura1man","5","1","Played","2/11 14:00","1613070000","Draft","SunshineCommunity","Pogonateur","13","11","https://www.twitch.tv/videos/910789631","Papa, Trey"
"Segastar","Juan","5","3b","Played","2/11 15:30","1613075400","Lockout","SunshineCommunity","Juan","5","11","https://www.twitch.tv/videos/910789633","MoJungo, deathline"
"Pinkish","Fullaire","5","3b","Played","2/11 17:00","1613080800","Invasion","SunshineCommunity","Pinkish","13","5","https://www.twitch.tv/videos/910789632","Juan, Samu"
"Larvitar","JJsrl","5","1","Played","2/12 12:30","1613151000","Draft","SunshineCommunity","Larvitar","13","9","https://www.twitch.tv/videos/913599111","Sid, Trey"
"linky628","RSW","5","2","Played","2/12 14:00","1613156400","Lockout","SunshineCommunity","linky628","13","9","https://www.twitch.tv/videos/913599112","rudhira, Haywire"
"RSW","Haywire","10","2","Played","2/12 15:30","1613161800","Row Control","Bingothon","RSW","3","0","https://www.twitch.tv/videos/912431298","Tomato, rudhira"
"Pogonateur","SidedWilliams","10","1","Played","2/12 15:30","1613161800","Row Control","SunshineCommunity","SidedWilliams","1","3","https://www.twitch.tv/videos/913601824","Alaeus, Larvitar"
"Tom$","Derpspace","5","3a","Played","2/12 17:00","1613167200","Lockout","Bingothon","Tom$","13","12","https://www.twitch.tv/videos/912431299","Dex, Peaches"
"Lego","Urbani","5","3b","Played","2/12 18:30","1613172600","Invasion","Bingothon","Urbani","8","13","","Sid, Kao"
"Pixel626","MoJungo","5","3b","Played","2/12 20:00","1613178000","Draft","Bingothon","Pixel626","13","10","","Tomato, Jukatox"
"Alaeus","toburr","5","2","Played","2/13 12:30","1613237400","Lockout","SunshineCommunity","toburr","5","13","https://www.twitch.tv/videos/913603944","Rasmus, rudhira"
"GravityBeatle","Haywire","5","2","Played","2/13 14:00","1613242800","Invasion","SunshineCommunity","GravityBeatle","13","","https://www.twitch.tv/videos/913603943","PK, toburr"
"gamestabled","mdmason85","5","2","Played","2/13 15:30","1613248200","Invasion","Bingothon","mdmason85","7","13","https://www.twitch.tv/videos/913726350","nupperz, yashichi, Lioncache"
"SpanishMeerkat","Jukatox","5","3a","Played","2/13 15:30","1613248200","Row Control","SunshineCommunity","Jukatox","0","3","https://www.twitch.tv/videos/913603942","Lego, rudhira"
"SpanishMeerkat","DarkMan","10","3a","Played","2/13 16:00","1613250000","Lockout","Offline","DarkMan","10","13","","Offline"
"ShadowMario27","SidedWilliams","5","1","Played","2/13 17:00","1613253600","Draft","SunshineCommunity","ShadowMario27","13","7","https://www.twitch.tv/videos/913607276","Lego, Mason"
"ModestTomato","MoJungo","10","3b","Played","2/13 18:30","1613259000","Row Control","SunshineCommunity","ModestTomato","3","0","https://www.twitch.tv/videos/913607277","GB, Sega"
"AverageTrey","Briguy","5","1","Played","2/13 18:30","1613259000","Connect 5","Bingothon","AverageTrey","8","6","https://www.twitch.tv/videos/913728790","Jeff, Urbani"
"Danieru","AverageTrey","10","1","Played","2/13 20:00","1613264400","Row Control","SunshineCommunity","Danieru","3","0","https://www.twitch.tv/videos/913607275","rats, Kwan"
"Libre","MrYhatoh","5","3a","Played","2/13 21:30","1613269800","Invasion","SunshineCommunity","MrYhatoh","11","13","https://www.twitch.tv/videos/913607278","Sega, Juan"
"Papa","peaches","5","2","Played","2/14 12:30","1613323800","Connect 5","SunshineCommunity","peaches","8","13","https://www.twitch.tv/videos/914829058","Jeff, Funky"
"gamestabled","toburr","10","2","Played","2/14 14:00","1613329200","Lockout","SunshineCommunity","toburr","12","13","https://www.twitch.tv/videos/914830600","rudhira, Alaeus"
"ShadowMario27","Larvitar","10","1","Played","2/14 15:30","1613334600","Row Control","SunshineCommunity","Larvitar","1","3","https://www.twitch.tv/videos/914830602","Pogo, Papa"
"Libre","Derpspace","10","3a","Played","2/14 15:30","1613334600","Draft","Offline","Libre","13","4","","Offline"
"Alaeus","Papa","10","2","Played","2/14 17:00","1613340000","Draft","SunshineCommunity","Papa","12","13","https://www.twitch.tv/videos/914830601","Larvitar, MoJungo"
"plankton","DarkMan","5","3a","Played","2/14 17:00","1613340000","Connect 5","Bingothon","DarkMan","7","13","https://www.twitch.tv/videos/914649899","Trey, Sid"
"mae","Jer","5","3a","Played","2/14 18:30","1613345400","Lockout","Bingothon","Jer","8","13","https://www.twitch.tv/videos/914649900","Tomato, PK"
"JeffCompass","Danieru","5","1","Played","2/14 20:00","1613350800","Row Control","Bingothon","Danieru","1","3","https://www.twitch.tv/videos/914649897","deathline, Lego"
"Pixel626","Urbani","10","3b","Played","2/14 21:00","1613354400","Connect 5","Offline","Urbani","3","13","","Offline"
"mae","MrYhatoh","10","3a","Played","2/14 21:30","1613356200","Row Control","Offline","MrYhatoh","0","3","","Offline"
"Pinkish","TheAzack9","10","3b","Played","2/15 12:30","1613410200","Row Control","Offline","Pinkish","3","0","","Offline"
"Segastar","Pinkish","6","3b","Played","2/17 12:30","1613583000","Draft","Offline","Pinkish","9","13","","Offline"
"Briguy","Larvitar","6","1","Played","2/17 14:00","1613588400","Draft","Bingothon","Larvitar","10","13","https://www.twitch.tv/videos/920025792","deathline, Trey"
"Kao","JBuzzyBee","5","3b","Played","2/17 20:00","1613610000","Draft","Offline","JBuzzyBee","7","13","","Offline"
"Alaeus","PK","6","2","Played","2/18 14:00","1613674800","Invasion","Bingothon","PK","8","13","https://www.twitch.tv/videos/920028746","rudhira, Denial"
"Danieru","Pogonateur","6","1","Played","2/18 14:00","1613674800","Connect 5","SunshineCommunity","Danieru","13","11","","Juan, Papa"
"Pixel626","Juan","6","3b","Played","2/18 15:30","1613680200","Invasion","SunshineCommunity","Juan","4","13","","Haywire, rudhira"
"Lego","Kao","10","3b","Played","2/18 20:00","1613696400","Row Control","Offline","Lego","3","0","","Offline"
"Haywire","Papa","6","2","Played","2/19 12:30","1613755800","Row Control","SunshineCommunity","Papa","1","3","https://www.twitch.tv/videos/921333764","Sid, Trey"
"SidedWilliams","Rimato","6","1","Played","2/19 14:00","1613761200","Invasion","SunshineCommunity","Rimato","6","13","https://www.twitch.tv/videos/921333765","PK, Trey"
